,"(following, count)","(following, birth mean)","(following, birth std)","(following, birth min)","(following, birth max)","(following, death mean)","(following, death std)","(followers, count)","(followers, birth mean)","(followers, birth std)","(followers, birth min)","(followers, birth max)","(followers, death mean)","(followers, death std)"
Kitaro_Nishida,2,1747.0,32.5269119346,1724.0,1770.0,1817.5,19.091883092,2,1912.5,17.6776695297,1900.0,1925.0,1990.0,
H._H._Price,1,1871.0,,1871.0,1871.0,1947.0,,0,,,,,,
Radoslav_Katičić,1,1905.0,,1905.0,1905.0,2001.0,,0,,,,,,
Friedrich_Engels,8,1482.625,816.079466981,-535.0,1809.0,1546.375,817.572877922,10,1904.57142857,47.391480046,1842.0,1958.0,1955.6,33.2836296098
Wolfgang_Stegmüller,2,1915.0,9.89949493661,1908.0,1922.0,1998.0,2.82842712475,0,,,,,,
Sissela_Bok,2,1719.0,263.043722601,1533.0,1905.0,1786.0,274.3574311,0,,,,,,
Karl_Rahner,3,1806.5,116.672618896,1724.0,1889.0,1890.0,121.622366364,1,1957.0,,1957.0,1957.0,,
Henry_S._Richardson_(philosopher),1,1921.0,,1921.0,1921.0,2002.0,,0,,,,,,
Georg_Simmel,2,1778.5,77.0746391493,1724.0,1833.0,1857.5,75.660425587,6,1897.8,13.9892816113,1874.0,1911.0,1973.8,27.4171479188
Hans_Kamp,1,1914.0,,1914.0,1914.0,1969.0,,0,,,,,,
Stanley_Cohen_(sociologist),1,1926.0,,1926.0,1926.0,1984.0,,0,,,,,,
Homi_K._Bhabha,5,1916.8,19.0709202714,1892.0,1935.0,1982.4,25.948024973,0,,,,,,
Francis_Hutcheson_(philosopher),1,1632.0,,1632.0,1632.0,1704.0,,4,1727.33333333,18.876793513,1711.0,1748.0,1799.33333333,29.1433239925
Porphyry_(philosopher),3,-202.666666667,352.870136641,-428.0,204.0,-133.333333333,349.53874368,3,601.333333333,430.035269871,245.0,1079.0,663.666666667,426.030906547
John_Fiske_(philosopher),1,1820.0,,1820.0,1820.0,1903.0,,0,,,,,,
Roger_Crisp,1,1806.0,,1806.0,1806.0,1873.0,,0,,,,,,
Anders_Chydenius,1,1632.0,,1632.0,1632.0,1704.0,,0,,,,,,
Alfred_Edward_Taylor,1,1846.0,,1846.0,1846.0,1924.0,,0,,,,,,
Joseph_Raz,2,1848.5,82.7314933988,1790.0,1907.0,1925.5,94.0452018978,1,1953.0,,1953.0,1953.0,,
Nicolas_Malebranche,1,,,,,,,8,1722.5,75.8080282217,1646.0,1883.0,1790.0,79.6169400496
Pherecydes_of_Syros,0,,,,,,,1,-570.0,,-570.0,-570.0,-495.0,
Arthur_Danto,5,1843.0,64.0780773744,1770.0,1908.0,1906.4,63.7910652051,0,,,,,,
Slavoj_Žižek,13,1882.90909091,65.2571138581,1770.0,1947.0,1945.44444444,69.1576299318,5,1968.0,7.07106781187,1963.0,1973.0,,
R._Radhakrishnan,7,1903.28571429,31.9568160998,1844.0,1935.0,1966.42857143,37.5448937623,0,,,,,,
Samuel_Alexander,8,1810.5,86.4275088482,1632.0,1873.0,1883.25,98.3038293107,2,1877.0,22.627416998,1861.0,1893.0,1954.5,10.6066017178
